OBJECTID,FRANODEID,COUNTRY,STATE,STFIPS,CTYFIPS,STCYFIPS,FRADISTRCT,PASSNGR,PASSNGRSTN,BNDRY,x,y
243410,494593,US,MA,25.0,21.0,25021.0,1,C,Dedham Corp. Ctr.,0.0,-71.1742587209063,42.2270565943219
243536,494630,US,MA,25.0,9.0,25009.0,1,C,Ballardvale,0.0,-71.1602938007569,42.6293277914242
243540,494633,US,MA,25.0,25.0,25025.0,1,C,West Roxbury,0.0,-71.1599463773208,42.2814133600832
243543,494634,US,MA,25.0,17.0,25017.0,1,C,North Wilmington,0.0,-71.1597487533482,42.5696319948869
243551,494639,US,MA,25.0,21.0,25021.0,1,C,Endicott,0.0,-71.1589172305004,42.2331493220754
243591,494653,US,MA,25.0,21.0,25021.0,1,C,Canton Junction,0.0,-71.1538042004645,42.1627569569766
243592,494654,US,MA,25.0,25.0,25025.0,1,C,Highland,0.0,-71.1536087441267,42.2850800233713
243605,494660,US,MA,25.0,9.0,25009.0,1,C,Lawrence,0.0,-71.1523134821831,42.7017534518215
243616,494667,US,MA,25.0,21.0,25021.0,1,B,Route 128,0.0,-71.1469965803919,42.2105604024672
243621,494672,US,MA,25.0,21.0,25021.0,1,C,Canton Center,0.0,-71.1462099993594,42.1571300001428
243622,494673,US,MA,25.0,25.0,25025.0,1,C,Bellevue,0.0,-71.1459283317038,42.286617122775
243628,494679,US,MA,25.0,17.0,25017.0,1,B,Anderson/Woburn,0.0,-71.1445100697366,42.5169376156064
243629,494680,US,MA,25.0,9.0,25009.0,1,C,Andover,0.0,-71.1444149489278,42.6585509520852
243641,494692,US,MA,25.0,17.0,25017.0,1,C,Wedgemere,0.0,-71.1403433259193,42.4445766687914
243650,494701,US,MA,25.0,17.0,25017.0,1,C,Winchester Center,0.0,-71.1375280183953,42.4518693173345
243652,494703,US,MA,25.0,17.0,25017.0,1,C,Mishawum,0.0,-71.1372392333877,42.5035803674589
243679,494723,US,MA,25.0,17.0,25017.0,1,C,West Medford,0.0,-71.1333530073825,42.4217578284867
243703,494739,US,MA,25.0,25.0,25025.0,1,C,Roslindale Village,0.0,-71.1307650365075,42.2873019892207
243728,494752,US,MA,25.0,25.0,25025.0,1,C,Hyde Park,0.0,-71.1254804498119,42.2550607343692
243744,494764,US,MA,25.0,25.0,25025.0,1,C,Fairmount,0.0,-71.1193900006447,42.253640000045
243745,494765,US,MA,25.0,17.0,25017.0,1,C,Porter Square,0.0,-71.1188409997504,42.38812399969
243774,497493,US,MA,25.0,17.0,25017.0,1,C,Reading,0.0,-71.1073238647827,42.5217957338107
243787,494809,US,MA,25.0,21.0,25021.0,1,C,Stoughton,0.0,-71.1035299999618,42.1239700004652
243795,494816,US,MA,25.0,25.0,25025.0,1,C,Lansdowne,0.0,-71.0994230264503,42.3476050595508
243817,494830,US,MA,25.0,9.0,25009.0,1,C,Bradford,0.0,-71.0883190626144,42.7668320980263
243829,497494,US,MA,25.0,9.0,25009.0,1,B,Haverhill,0.0,-71.0862868910837,42.7735623124784
243836,494847,US,MA,25.0,25.0,25025.0,1,C,Morton Street,0.0,-71.0857487238717,42.2806642134995
243871,497495,US,MA,25.0,17.0,25017.0,1,C,Wakefield,0.0,-71.0753951326741,42.5019023425849
243900,494911,US,MA,25.0,25.0,25025.0,1,B,Back Bay,0.0,-71.0751499995011,42.3475599993273
243905,494915,US,MA,25.0,17.0,25017.0,1,C,Malden Center,0.0,-71.0741887967572,42.4267521815593
243928,494939,US,MA,25.0,17.0,25017.0,1,C,Melrose/Cedar Park,0.0,-71.0697982251105,42.4586956417418
243931,494942,US,MA,25.0,17.0,25017.0,1,C,Wyoming Hill,0.0,-71.069396520075,42.4517086496053
243932,497496,US,MA,25.0,25.0,25025.0,1,C,Uphams Corner,0.0,-71.0686277032273,42.3191148464661
243936,494946,US,MA,25.0,17.0,25017.0,1,C,Melrose Highlands,0.0,-71.06816354372,42.4699542168168
243941,494949,US,MA,25.0,17.0,25017.0,1,C,Greenwood,0.0,-71.0676405760026,42.4834848005744
243960,494967,US,MA,25.0,25.0,25025.0,1,B,North Station,0.0,-71.0627543166771,42.3664753957582
244042,495049,US,MA,25.0,25.0,25025.0,1,B,South Station,0.0,-71.0548502929188,42.3516439317214
244047,495054,US,MA,25.0,25.0,25025.0,1,C,JFK/UMass,0.0,-71.0522004128492,42.3206928172257
244077,495083,US,MA,25.0,21.0,25021.0,1,C,Holbrook/Randolph,0.0,-71.0273219429581,42.1564802188169
244090,497497,US,MA,25.0,23.0,25023.0,1,C,Montello,0.0,-71.0218683184789,42.1063397016094
244096,495101,US,MA,25.0,23.0,25023.0,1,C,Brockton,0.0,-71.0165878442707,42.0844546911061
244106,495110,US,MA,25.0,23.0,25023.0,1,C,Campello,0.0,-71.0109304944615,42.0608962388773
244114,495118,US,MA,25.0,21.0,25021.0,1,C,Quincy Center,0.0,-71.0055367903067,42.2518147573521
244122,495129,US,MA,25.0,21.0,25021.0,1,C,Braintree,0.0,-71.0014148499643,42.2076331291322
244174,495173,US,MA,25.0,9.0,25009.0,1,C,River Works,0.0,-70.9696475963163,42.4499118023188
244175,495174,US,MA,25.0,21.0,25021.0,1,C,Weymouth Landing/East Braintree,0.0,-70.96841294101,42.2214736243402
